Sample Name	Acquisition Date & Time	Component Name	Area	IS Area	IS Name	Area Ratio	Retention Time	IS Retention Time
PR01_EXAMPLE_AAC_0001QC_A3	08/13/2015 18:22:48	COR-Q	5367973.85667296	825246.810173583	PEA-ISTD	6.00468900999915	0.090845351778625	4.48864524687689
PR01_EXAMPLE_AAC_0001QC_A3	08/13/2015 18:22:48	Alpha-LEA-Q	13385.8215	547786.416164435	LEA-ISTD	0.0244362056177418	3.26228121322761	3.93760989351796
PR01_EXAMPLE_AAC_0001QC_A3	08/13/2015 18:22:48	AA-Q	8250056.08672294	547786.416164435	LEA-ISTD	15.0607177236875	5.85086441122406	3.93760989351796
PR01_EXAMPLE_AAC_0001QC_E1	08/13/2015 18:35:28	2AG-Q	382723.475436948	30994.7534377549	2AG-ISTD	12.9482019692644	4.87082427551204	4.64038146283869
PR01_EXAMPLE_AAC_0001QC_E1	08/13/2015 18:35:28	2AG-ISTD	30994.7534377549	N/A	N/A	N/A	4.64038146283869	N/A
PR01_EXAMPLE_AAC_0001QC_E1	08/13/2015 18:35:28	AEA-Q	60046.2375000001	12087.0529597696	AEA-ISTD	4.97007609037912	4.01564863724684	3.97108029170415
PR01_EXAMPLE_AAC_0001QC_E1	08/13/2015 18:35:28	AEA-ISTD	12087.0529597696	N/A	N/A	N/A	3.97108029170415	N/A
PR01_EXAMPLE_AAC_0001QC_E1	08/13/2015 18:35:28	DHEA-Q	17703.0049984685	20802.9171258377	DHEA-ISTD	0.851323671845781	3.94810283501061	3.93275905528984
PR01_EXAMPLE_AAC_0001QC_E1	08/13/2015 18:35:28	DHEA-ISTD	20802.9171258377	N/A	N/A	N/A	3.93275905528984	N/A
PR01_EXAMPLE_AAC_0001QC_E1	08/13/2015 18:35:28	LEA-Q	289978.044821485	394430.964988227	LEA-ISTD	0.735181997767697	3.95608222071586	3.93597568068617
PR01_EXAMPLE_AAC_0001QC_E1	08/13/2015 18:35:28	LEA-ISTD	394430.964988227	N/A	N/A	N/A	3.93597568068617	N/A
PR01_EXAMPLE_AAC_0001QC_E1	08/13/2015 18:35:28	NADA-Q	1622.94453985016	12645.6997997868	NADA-ISTD	0.128339638418233	4.46901248278988	4.02931729040162
PR01_EXAMPLE_AAC_0001QC_E1	08/13/2015 18:35:28	NADA-ISTD	12645.6997997868	N/A	N/A	N/A	4.02931729040162	N/A
PR01_EXAMPLE_AAC_0001QC_E1	08/13/2015 18:35:28	OEA-Q	480773.016396896	296597.980866818	OEA-ISTD	7.62099456495259	4.97013488091473	4.94312397625045
PR01_EXAMPLE_AAC_0001QC_E1	08/13/2015 18:35:28	OEA-ISTD	296597.980866818	N/A	N/A	N/A	4.94312397625045	N/A
PR01_EXAMPLE_AAC_0001QC_E1	08/13/2015 18:35:28	PEA-Q	1053477.9265	606215.123292226	PEA-ISTD	7.73778463456804	4.00792907144245	4.48566548170789
PR01_EXAMPLE_AAC_0001QC_E1	08/13/2015 18:35:28	PEA-ISTD	606215.123292226	N/A	N/A	N/A	4.48566548170789	N/A
PR01_EXAMPLE_AAC_0001QC_E1	08/13/2015 18:35:28	SEA-Q	418333.0395	909912.985500002	SEA-ISTD	0.459757741857173	6.94585573564693	6.91865716322528
PR01_EXAMPLE_AAC_0001QC_E1	08/13/2015 18:35:28	SEA-ISTD	909912.985500002	N/A	N/A	N/A	6.91865716322528	N/A
PR01_EXAMPLE_AAC_0001QC_E1	08/13/2015 18:35:28	2AGE-Q	1395.84836828321	30994.7534377549	2AG-ISTD	0.0450349886178774	4.71935779041991	4.64038146283869
PR01_EXAMPLE_AAC_0001QC_E1	08/13/2015 18:35:28	DEA-Q	5670.46549877045	296597.980866818	OEA-ISTD	0.0191187804655616	5.1405384430141	4.94312397625045
PR01_EXAMPLE_AAC_0001QC_E1	08/13/2015 18:35:28	DGLEA-Q	11315.9862188506	394430.964988227	LEA-ISTD	0.0286893961765612	4.00544928400409	3.93597568068617
PR01_EXAMPLE_AAC_0001QC_E1	08/13/2015 18:35:28	O-AEA	3.4472725161572	12087.0529597696	AEA-ISTD	0.000781958457461195	3.20200017424434	3.97108029170415
PR01_EXAMPLE_AAC_0001QC_E1	08/13/2015 18:35:28	2-LG-Q	28286.1167492296	30994.7534377549	2AG-ISTD	0.912609832694267	4.72779859597344	4.64038146283869
PR01_EXAMPLE_AAC_0001QC_E1	08/13/2015 18:35:28	1-LG-Q	193343.996952373	30994.7534377549	2AG-ISTD	6.23813308728737	4.9659824412653	4.64038146283869
PR01_EXAMPLE_AAC_0001QC_E1	08/13/2015 18:35:28	2-OG-Q	94223.7849999999	30994.7534377549	2AG-ISTD	3.04018501677184	5.91465112575889	4.64038146283869
PR01_EXAMPLE_AAC_0001QC_E1	08/13/2015 18:35:28	1-OG-Q	679966.499916561	30994.7534377549	2AG-ISTD	27.938116116397	6.21166633058131	4.64038146283869
PR01_EXAMPLE_AAC_0001QC_E1	08/13/2015 18:35:28	EPEA-Q	2967.14659661196	394430.964988227	LEA-ISTD	0.00750738876878072	3.93833187820504	3.93597568068617
PR01_EXAMPLE_AAC_0001QC_E1	08/13/2015 18:35:28	POEA-Q	78103.071	296597.980866818	OEA-ISTD	0.263335605949627	3.00960635720484	4.94312397625045
